From Date,RH
01-01-2018 00:00,74.6
02-01-2018 00:00,75.62
03-01-2018 00:00,74.22
04-01-2018 00:00,75.24
05-01-2018 00:00,74.65
06-01-2018 00:00,68.85
07-01-2018 00:00,63.9
08-01-2018 00:00,59.18
09-01-2018 00:00,61.86
10-01-2018 00:00,56.8
11-01-2018 00:00,55.47
12-01-2018 00:00,56.1
13-01-2018 00:00,59.31
14-01-2018 00:00,56.01
15-01-2018 00:00,59.26
16-01-2018 00:00,52.31
17-01-2018 00:00,69.85
18-01-2018 00:00,66.3
19-01-2018 00:00,66.64
20-01-2018 00:00,74.99
21-01-2018 00:00,44.94
22-01-2018 00:00,64.02
23-01-2018 00:00,73.57
24-01-2018 00:00,77.16
25-01-2018 00:00,79.43
26-01-2018 00:00,76.64
27-01-2018 00:00,69.14
28-01-2018 00:00,67.22
29-01-2018 00:00,63.57
30-01-2018 00:00,52.07
31-01-2018 00:00,57.25
01-02-2018 00:00,52.6
02-02-2018 00:00,60.81
03-02-2018 00:00,52.84
04-02-2018 00:00,50.84
05-02-2018 00:00,47.73
06-02-2018 00:00,47
07-02-2018 00:00,47.9
08-02-2018 00:00,54.16
09-02-2018 00:00,55.23
10-02-2018 00:00,55.97
11-02-2018 00:00,54.2
12-02-2018 00:00,65.88
13-02-2018 00:00,67.69
14-02-2018 00:00,55.94
15-02-2018 00:00,56.43
16-02-2018 00:00,60.52
17-02-2018 00:00,58.64
18-02-2018 00:00,56.1
19-02-2018 00:00,53.24
20-02-2018 00:00,53.05
21-02-2018 00:00,53.5
22-02-2018 00:00,56.41
23-02-2018 00:00,56.46
24-02-2018 00:00,55.56
25-02-2018 00:00,52.33
26-02-2018 00:00,56.44
27-02-2018 00:00,55.61
28-02-2018 00:00,59.64
01-03-2018 00:00,54.82
02-03-2018 00:00,53.32
03-03-2018 00:00,50.04
04-03-2018 00:00,48.36
05-03-2018 00:00,50.66
06-03-2018 00:00,50.25
07-03-2018 00:00,50.38
08-03-2018 00:00,52.22
09-03-2018 00:00,49.51
10-03-2018 00:00,44.61
11-03-2018 00:00,47.78
12-03-2018 00:00,45.04
13-03-2018 00:00,42.91
