date,SR
 01/01/2017,10.52
 02/01/2017,9.97
 03/01/2017,11.01
 04/01/2017,13.22
 05/01/2017,15.72
 06/01/2017,16.87
 07/01/2017,12.04
 08/01/2017,11.57
 09/01/2017,11.45
 10/01/2017,10.64
 11/01/2017,9.75
 12/01/2017,10.12
 13/01/2017,10.31
 14/01/2017,7.68
 15/01/2017,15.09
 16/01/2017,13.22
 17/01/2017,9.3
 18/01/2017,12.4
 19/01/2017,12.7
 20/01/2017,10.44
 21/01/2017,12.38
 22/01/2017,15.38
 23/01/2017,17.2
 24/01/2017,18.65
 25/01/2017,19.16
 26/01/2017,16.94
 27/01/2017,13.97
 28/01/2017,14.03
 29/01/2017,13.09
 30/01/2017,14.67
 31/01/2017,16.5
 01/02/2017,16.42
 02/02/2017,16.8
 03/02/2017,16.73
 04/02/2017,16.82
 05/02/2017,17.9
 06/02/2017,16.15
 07/02/2017,14.29
 08/02/2017,15.99
 09/02/2017,16.46
 10/02/2017,18.44
 11/02/2017,16.13
 12/02/2017,16.53
 13/02/2017,16.73
 14/02/2017,17.56
 15/02/2017,18.89
 16/02/2017,23.9
 17/02/2017,20.68
 18/02/2017,22.23
 19/02/2017,23.94
 20/02/2017,24.9
 21/02/2017,21.49
 22/02/2017,19.15
 23/02/2017,21.41
 24/02/2017,18.57
 25/02/2017,20.82
 26/02/2017,20.75
 27/02/2017,21.55
 28/02/2017,24.44
 01/03/2017,26.52
 02/03/2017,22.77
 03/03/2017,21.35
 04/03/2017,20.31
 05/03/2017,20.27
 06/03/2017,21.33
 07/03/2017,23.65
 08/03/2017,22.77
 09/03/2017,21.31
 10/03/2017,14.96
 11/03/2017,15.9
 12/03/2017,17.34
 13/03/2017,17.43
 14/03/2017,23.07
 15/03/2017,21.72
 16/03/2017,23.83
 17/03/2017,22.68
 18/03/2017,24.1
 19/03/2017,24.59
 20/03/2017,24.89
 21/03/2017,26.25
 22/03/2017,29.58
 23/03/2017,30.94
 24/03/2017,29.6
 25/03/2017,28.85
 26/03/2017,30.05
 27/03/2017,30.91
 28/03/2017,32.28
 29/03/2017,33.76
 30/03/2017,32.32
 31/03/2017,33.99
 01/04/2017,34.3
 02/04/2017,34.05
 03/04/2017,33.9
 04/04/2017,33.55
