,param_C,param_epsilon,param_gamma,param_kernel,params,mean_train_score,mean_test_score,keep
0,1,0.01,0.001,rbf,"{'C': 1, 'epsilon': 0.01, 'gamma': 0.001, 'kernel': 'rbf'}",-0.4223164137321647,-0.56172215043898,1
1,1,0.01,0.001,poly,"{'C': 1, 'epsilon': 0.01, 'gamma': 0.001, 'kernel': 'poly'}",-1.1383971586863526,-1.199464218424233,1
2,1,0.01,0.001,sigmoid,"{'C': 1, 'epsilon': 0.01, 'gamma': 0.001, 'kernel': 'sigmoid'}",-0.4896819751674225,-0.6183688488646454,1
3,1,0.01,0.01,rbf,"{'C': 1, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",-0.25987791879272354,-0.38809449480988867,1
4,1,0.01,0.01,poly,"{'C': 1, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'poly'}",-1.0028082255756012,-1.0871628497871633,1
5,1,0.01,0.01,sigmoid,"{'C': 1, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'sigmoid'}",-0.44023260598627684,-0.5167874210009782,1
6,1,0.01,0.1,rbf,"{'C': 1, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",-0.18119496614806285,-0.3063489842350733,1
7,1,0.01,0.1,poly,"{'C': 1, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'poly'}",-0.4752341485154378,-3.1327249157428634,0
8,1,0.01,0.1,sigmoid,"{'C': 1, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'sigmoid'}",-616.0092184935213,-124.98413970061878,0
9,1,0.1,0.001,rbf,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",-0.4182627204780035,-0.5637000126525807,1
10,1,0.1,0.001,poly,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'poly'}",-1.131222759804082,-1.1876765283561892,1
11,1,0.1,0.001,sigmoid,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}",-0.4865185024429081,-0.6179468736116853,1
12,1,0.1,0.01,rbf,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.25747338628995464,-0.3795320046401248,1
13,1,0.1,0.01,poly,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'poly'}",-0.9931684995212418,-1.0717386636594506,1
14,1,0.1,0.01,sigmoid,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}",-0.4307111754898011,-0.5171673438140207,1
15,1,0.1,0.1,rbf,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.17946290394419853,-0.30492723106043096,1
16,1,0.1,0.1,poly,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'poly'}",-0.4654660804792048,-2.60339252972643,0
17,1,0.1,0.1,sigmoid,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}",-612.9430562287688,-149.6115260470257,0
18,1,1,0.001,rbf,"{'C': 1, 'epsilon': 1, 'gamma': 0.001, 'kernel': 'rbf'}",-0.7163717914818543,-0.872214238155904,1
19,1,1,0.001,poly,"{'C': 1, 'epsilon': 1, 'gamma': 0.001, 'kernel': 'poly'}",-1.0790979757659058,-1.0936442271198694,1
20,1,1,0.001,sigmoid,"{'C': 1, 'epsilon': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}",-0.8055098552051094,-0.9235546117956528,1
21,1,1,0.01,rbf,"{'C': 1, 'epsilon': 1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.4194451252607566,-0.5939260769932826,1
22,1,1,0.01,poly,"{'C': 1, 'epsilon': 1, 'gamma': 0.01, 'kernel': 'poly'}",-1.0050419747233243,-1.0437107709874227,1
23,1,1,0.01,sigmoid,"{'C': 1, 'epsilon': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}",-0.5414895620499778,-0.8361618071468488,1
24,1,1,0.1,rbf,"{'C': 1, 'epsilon': 1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.44893391259831733,-0.6258278227855373,1
25,1,1,0.1,poly,"{'C': 1, 'epsilon': 1, 'gamma': 0.1, 'kernel': 'poly'}",-0.5866896986737281,-1.597011275129271,0
26,1,1,0.1,sigmoid,"{'C': 1, 'epsilon': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}",-591.8133305147102,-116.20877522161497,0
27,10,0.01,0.001,rbf,"{'C': 10, 'epsilon': 0.01, 'gamma': 0.001, 'kernel': 'rbf'}",-0.31898529189748415,-0.4691845090893314,1
28,10,0.01,0.001,poly,"{'C': 10, 'epsilon': 0.01, 'gamma': 0.001, 'kernel': 'poly'}",-1.1316627221307107,-1.1965889983716753,1
29,10,0.01,0.001,sigmoid,"{'C': 10, 'epsilon': 0.01, 'gamma': 0.001, 'kernel': 'sigmoid'}",-0.3630834404669023,-0.5179180403979036,1
30,10,0.01,0.01,rbf,"{'C': 10, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",-0.19812300688060508,-0.3525397826296245,1
31,10,0.01,0.01,poly,"{'C': 10, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'poly'}",-0.7784913655203233,-1.0258305879229839,1
32,10,0.01,0.01,sigmoid,"{'C': 10, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'sigmoid'}",-7.1299818328834235,-1.009720189201357,0
33,10,0.01,0.1,rbf,"{'C': 10, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",-0.15595790591698563,-0.39550245929014266,1
34,10,0.01,0.1,poly,"{'C': 10, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'poly'}",-0.44604688514674146,-6.60044644277779,0
35,10,0.01,0.1,sigmoid,"{'C': 10, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'sigmoid'}",-61025.718810204955,-14021.512645300481,0
36,10,0.1,0.001,rbf,"{'C': 10, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",-0.31684289153090267,-0.45968218585907816,1
37,10,0.1,0.001,poly,"{'C': 10, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'poly'}",-1.12460637317681,-1.184826846944008,1
38,10,0.1,0.001,sigmoid,"{'C': 10, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}",-0.3571252015520404,-0.5081955472084794,1
39,10,0.1,0.01,rbf,"{'C': 10, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.19595123212660887,-0.33846339007319837,1
40,10,0.1,0.01,poly,"{'C': 10, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'poly'}",-0.7702443913450913,-1.011158664682268,1
41,10,0.1,0.01,sigmoid,"{'C': 10, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}",-7.064454975525111,-0.9873854434210086,0
42,10,0.1,0.1,rbf,"{'C': 10, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.15452619797458728,-0.40375833107333714,1
43,10,0.1,0.1,poly,"{'C': 10, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'poly'}",-0.44075231491617295,-6.248411173922196,0
44,10,0.1,0.1,sigmoid,"{'C': 10, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}",-61091.81867425862,-11493.3518712691,0
45,10,1,0.001,rbf,"{'C': 10, 'epsilon': 1, 'gamma': 0.001, 'kernel': 'rbf'}",-0.45541527310260366,-0.7065842626158377,1
46,10,1,0.001,poly,"{'C': 10, 'epsilon': 1, 'gamma': 0.001, 'kernel': 'poly'}",-1.0766207508045151,-1.0925042659231285,1
47,10,1,0.001,sigmoid,"{'C': 10, 'epsilon': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}",-0.5289466303393252,-0.8184612884167084,1
48,10,1,0.01,rbf,"{'C': 10, 'epsilon': 1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.2634822451292272,-0.39798888743182664,1
49,10,1,0.01,poly,"{'C': 10, 'epsilon': 1, 'gamma': 0.01, 'kernel': 'poly'}",-0.8682442637056502,-1.0483296693902708,1
50,10,1,0.01,sigmoid,"{'C': 10, 'epsilon': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}",-2.06950492152445,-0.6762210312481004,0
51,10,1,0.1,rbf,"{'C': 10, 'epsilon': 1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.36868698058582,-0.6413888105033271,1
52,10,1,0.1,poly,"{'C': 10, 'epsilon': 1, 'gamma': 0.1, 'kernel': 'poly'}",-0.5436911965922508,-6.88498899494707,0
53,10,1,0.1,sigmoid,"{'C': 10, 'epsilon': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}",-60964.69180629596,-14233.849209909424,0
54,50,0.01,0.001,rbf,"{'C': 50, 'epsilon': 0.01, 'gamma': 0.001, 'kernel': 'rbf'}",-0.285520551678324,-0.46217777138422367,1
55,50,0.01,0.001,poly,"{'C': 50, 'epsilon': 0.01, 'gamma': 0.001, 'kernel': 'poly'}",-1.1057644915976808,-1.1850768837897445,1
56,50,0.01,0.001,sigmoid,"{'C': 50, 'epsilon': 0.01, 'gamma': 0.001, 'kernel': 'sigmoid'}",-0.34881046325353726,-0.49079842725761164,1
57,50,0.01,0.01,rbf,"{'C': 50, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",-0.18338591502232976,-0.355157559525708,1
58,50,0.01,0.01,poly,"{'C': 50, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'poly'}",-0.6229254628459917,-1.3378160046286207,0
59,50,0.01,0.01,sigmoid,"{'C': 50, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'sigmoid'}",-231.1325204264968,-17.990825449101017,0
