,param_n_estimators,param_max_features,param_max_depth,params,mean_train_score,mean_test_score,keep
0,50,1,1,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 50}",-0.3770740790467276,-0.6697052209365554,1
1,100,1,1,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 100}",-0.37729606423055523,-0.7044706674030574,1
2,300,1,1,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 300}",-0.36797706907416416,-0.6663258114243407,1
3,500,1,1,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 500}",-0.3720501879992263,-0.6596773585447501,1
4,50,5,1,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 50}",-0.30448952607769586,-0.4662249288717796,1
5,100,5,1,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 100}",-0.3011712607248199,-0.46420842068909574,1
6,300,5,1,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 300}",-0.3019470292817702,-0.462349330343572,1
7,500,5,1,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 500}",-0.2998709902075934,-0.46432094354865255,1
8,50,10,1,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 50}",-0.3030569210522147,-0.4662128830399837,1
9,100,10,1,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 100}",-0.3015919504730253,-0.4656826318119666,1
10,300,10,1,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 300}",-0.30251901113372953,-0.4577679209511315,1
11,500,10,1,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 500}",-0.3001919046207199,-0.4640963010901868,1
12,50,15,1,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 50}",-0.30357876897937286,-0.46940902992957856,1
13,100,15,1,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 100}",-0.29811032343205635,-0.4614640162579372,1
14,300,15,1,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 300}",-0.30107360828858964,-0.4677636069362917,1
15,500,15,1,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 500}",-0.2998761584933415,-0.4637568013496155,1
16,50,20,1,"{'max_depth': 1, 'max_features': 20, 'n_estimators': 50}",-0.2981140030585854,-0.46153577048778816,1
17,100,20,1,"{'max_depth': 1, 'max_features': 20, 'n_estimators': 100}",-0.30510692632805697,-0.45181955656720146,1
18,300,20,1,"{'max_depth': 1, 'max_features': 20, 'n_estimators': 300}",-0.3006068811018646,-0.46327526747457626,1
19,500,20,1,"{'max_depth': 1, 'max_features': 20, 'n_estimators': 500}",-0.30130827603966376,-0.46060196801767084,1
20,50,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 50}",-0.06058436786440328,-0.44336169472857934,1
21,100,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 100}",-0.06073501686982645,-0.4014776980776551,1
22,300,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 300}",-0.059906159193253,-0.4051930671339906,1
23,500,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 500}",-0.0596618490040318,-0.413198018224705,1
24,50,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 50}",-0.03646414264666489,-0.390028737657236,1
25,100,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 100}",-0.03601773630382371,-0.34778684925085246,1
26,300,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 300}",-0.03551715446476116,-0.3693383132478626,1
