,param_n_estimators,param_max_features,param_max_depth,params,mean_train_score,mean_test_score,keep
0,1,1,1,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 1}",-0.7840680206533317,-0.7966970356532551,1
1,10,1,1,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 10}",-0.6698021354554955,-0.6901079406161129,1
2,15,1,1,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 15}",-0.6611862252737939,-0.6715104549138496,1
3,150,1,1,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 150}",-0.6535306227148856,-0.6644419440226709,1
4,300,1,1,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 300}",-0.6513187643293087,-0.6602391236789196,1
5,500,1,1,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 500}",-0.6515853738402546,-0.6615914219885638,1
6,800,1,1,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 800}",-0.6508476327008111,-0.6619241896146317,1
7,1000,1,1,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 1000}",-0.6514037472314959,-0.6616205028205611,1
8,1,5,1,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 1}",-0.7008965113049955,-0.7076536913041165,1
9,10,5,1,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 10}",-0.6827770158224095,-0.6945076870338609,1
10,15,5,1,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 15}",-0.6771183641947169,-0.6903649968546292,1
11,150,5,1,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 150}",-0.6780654242625932,-0.6909584640743991,1
12,300,5,1,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 300}",-0.6788606022148452,-0.6922217855518492,1
13,500,5,1,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 500}",-0.6794541033053372,-0.6919033268525022,1
14,800,5,1,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 800}",-0.6789722974033452,-0.6914536290462932,1
15,1000,5,1,"{'max_depth': 1, 'max_features': 5, 'n_estimators': 1000}",-0.6788054358258815,-0.6917551550011808,1
16,1,10,1,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 1}",-0.7092069522370767,-0.7247350069571314,1
17,10,10,1,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 10}",-0.6843541660574963,-0.6972269650974001,1
18,15,10,1,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 15}",-0.6743372013624349,-0.6855641003907047,1
19,150,10,1,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 150}",-0.6794992066690911,-0.6931338636333799,1
20,300,10,1,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 300}",-0.6790212295889352,-0.6924678181731856,1
21,500,10,1,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 500}",-0.6790751055239393,-0.6917943497995528,1
22,800,10,1,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 800}",-0.6789386617866866,-0.6917041087581046,1
23,1000,10,1,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 1000}",-0.6783156929284488,-0.6917759199513271,1
24,1,15,1,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 1}",-0.7017194226673718,-0.6996717193272934,1
25,10,15,1,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 10}",-0.6781506520132884,-0.6943563924799335,1
26,15,15,1,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 15}",-0.6766075095943624,-0.6902511007411902,1
27,150,15,1,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 150}",-0.6781658622617077,-0.6904901879740015,1
28,300,15,1,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 300}",-0.6784850125682433,-0.6912177167129999,1
29,500,15,1,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 500}",-0.6777481602295865,-0.6914640203035585,1
30,800,15,1,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 800}",-0.6779807603106506,-0.6914182597209331,1
31,1000,15,1,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 1000}",-0.678209013966901,-0.6916185610494352,1
32,1,20,1,"{'max_depth': 1, 'max_features': 20, 'n_estimators': 1}",-0.7031457846297746,-0.7170268094343436,1
33,10,20,1,"{'max_depth': 1, 'max_features': 20, 'n_estimators': 10}",-0.6801933123498998,-0.6950335936324488,1
34,15,20,1,"{'max_depth': 1, 'max_features': 20, 'n_estimators': 15}",-0.6756467176605581,-0.6889563307506255,1
35,150,20,1,"{'max_depth': 1, 'max_features': 20, 'n_estimators': 150}",-0.6787631159926979,-0.691807438575031,1
36,300,20,1,"{'max_depth': 1, 'max_features': 20, 'n_estimators': 300}",-0.6783144464778804,-0.6914969579953125,1
37,500,20,1,"{'max_depth': 1, 'max_features': 20, 'n_estimators': 500}",-0.6787393513425897,-0.6912371420142147,1
38,800,20,1,"{'max_depth': 1, 'max_features': 20, 'n_estimators': 800}",-0.6793578724515705,-0.6915202029692717,1
39,1000,20,1,"{'max_depth': 1, 'max_features': 20, 'n_estimators': 1000}",-0.6786710671445421,-0.6916680895777872,1
40,1,25,1,"{'max_depth': 1, 'max_features': 25, 'n_estimators': 1}",-0.7041018163584916,-0.7248776205163721,1
41,10,25,1,"{'max_depth': 1, 'max_features': 25, 'n_estimators': 10}",-0.6830184532220717,-0.6933950114200285,1
42,15,25,1,"{'max_depth': 1, 'max_features': 25, 'n_estimators': 15}",-0.6745050633226292,-0.6906468329810264,1
43,150,25,1,"{'max_depth': 1, 'max_features': 25, 'n_estimators': 150}",-0.6823826528395952,-0.694787877292082,1
44,300,25,1,"{'max_depth': 1, 'max_features': 25, 'n_estimators': 300}",-0.6779002186917232,-0.6907127009713112,1
45,500,25,1,"{'max_depth': 1, 'max_features': 25, 'n_estimators': 500}",-0.6779693336198114,-0.6915929989639545,1
